signal,latent_dim,auc,ci_lo,ci_hi
GluGluH→ττ,10,0.9947380125341905,0.9933346342212164,0.9953150907840377
GluGluH→ττ,20,0.9945962631729947,0.9934305912372492,0.9949865171925127
GluGluH→ττ,30,0.9947312217569744,0.9936123320445165,0.995420480736136
GluGluH→ττ,40,0.9947677046705221,0.9933653734436698,0.9954281820497543
GluGluH→ττ,50,0.9946679442033823,0.9946281455412399,0.9961791145797652
GluGluH→ττ,60,0.9946667728006882,0.9937076605490389,0.9954218236857825
GluGluH→ττ,70,0.9946596074385073,0.9940581245364727,0.9955853295481939
GluGluH→ττ,80,0.9947685397571293,0.9935951107041356,0.9952181759569547
GluGluH→gg,10,0.9981956581883576,0.9981461949287146,0.9990536875771822
GluGluH→gg,20,0.9981540244454332,0.9980382946068386,0.9989048207364685
GluGluH→gg,30,0.9981936374489939,0.9983952604674172,0.9992048521767576
GluGluH→gg,40,0.9982049453715697,0.9973086904690179,0.99830541103843
GluGluH→gg,50,0.9981785695533464,0.9974465421041354,0.9984764658222657
GluGluH→gg,60,0.9981740538677141,0.997815819852415,0.9988029844264702
GluGluH→gg,70,0.9981735849145646,0.9982160088031454,0.9989811989635609
GluGluH→gg,80,0.9982023112554756,0.9983345869116482,0.9990114019860004
H→2LL→4b,10,0.9928277546237345,0.9938532924712374,0.9974812384421736
H→2LL→4b,20,0.9926294009836378,0.9902888398150965,0.9966660977207669
H→2LL→4b,30,0.992810233255873,0.9858964732748795,0.9943212214487471
H→2LL→4b,40,0.992864270747119,0.9884966565370943,0.9956638176353925
H→2LL→4b,50,0.992714978552556,0.9885266627590502,0.995962564021711
H→2LL→4b,60,0.9927101527185332,0.9880698022156095,0.9940879027156624
H→2LL→4b,70,0.9926949746132299,0.9854297438543014,0.9935423339676476
H→2LL→4b,80,0.9928865927611893,0.9895268148235052,0.9954929354001191
Single Neutrino,10,0.97309263100176,0.9675675428605535,0.9716488840265918
Single Neutrino,20,0.9720560677251318,0.9714837202022254,0.9756837224913781
Single Neutrino,30,0.9726057690997485,0.9686836851771857,0.9736612413910095
Single Neutrino,40,0.9728298918658085,0.9710998770367367,0.9752421610311369
Single Neutrino,50,0.9723748488090238,0.9700564441328424,0.9741770417120601
Single Neutrino,60,0.9722684262849842,0.9716273918286822,0.9758492437127249
Single Neutrino,70,0.9722295510774668,0.9694560043920463,0.9743710790721969
Single Neutrino,80,0.9728430330484343,0.968860851882326,0.9736971964634461
SUEP,10,0.9934101613301132,0.9860502374059397,0.9947628357560265
SUEP,20,0.9932880366417368,0.9865757137991582,0.9942570413380959
SUEP,30,0.9935136543055987,0.9956448412446129,0.9980154909172555
SUEP,40,0.9935612828503168,0.9869703854720577,0.995882435526871
SUEP,50,0.9933662940817491,0.9901140730576897,0.9968320403935305
SUEP,60,0.9934179967798897,0.9914935982861076,0.9982920212231293
SUEP,70,0.9934060286823518,0.9911330420721878,0.9964004377240645
SUEP,80,0.9935867659317544,0.9935765178400029,0.9980527564475874
tt̄,10,0.9998356606555266,0.9997074625444289,0.9998971135464567
tt̄,20,0.999841240354755,0.9996704008276338,0.9998852547259096
tt̄,30,0.9998504997305833,0.9998808511202101,0.9999386905357417
tt̄,40,0.9998498735554011,0.9997942157302254,0.9999414513811269
tt̄,50,0.9998432753764332,0.9998125437722716,0.9999467375941072
tt̄,60,0.9998487444491398,0.9998206847949687,0.9999393942707249
tt̄,70,0.9998487364041426,0.999826867074609,0.99992074593952
tt̄,80,0.999849816102746,0.9998835370529151,0.9999560805658249
VBF H→bb,10,0.9985183378349242,0.9983717658849515,0.9990017671233866
VBF H→bb,20,0.9985022957712726,0.9979638486918185,0.9990649570137414
VBF H→bb,30,0.9985468274929198,0.9983745363547,0.9991835776100177
VBF H→bb,40,0.9985538301691084,0.9978988806073499,0.9987673895923327
VBF H→bb,50,0.9985242588327332,0.9979949458033875,0.9988011117088111
VBF H→bb,60,0.9985287064008541,0.9978588247494048,0.9988719067241592
VBF H→bb,70,0.9985285040987786,0.9988236570550733,0.9993340259562157
VBF H→bb,80,0.9985499184505494,0.9979901031791792,0.9989286266601698
VBF H→ττ,10,0.9977493169066907,0.9971085064255457,0.9982232365594824
VBF H→ττ,20,0.9976838169254425,0.9972891144006238,0.9982608740051708
VBF H→ττ,30,0.9977408518883139,0.9966185625189861,0.9979757654259053
VBF H→ττ,40,0.9977558677148964,0.9970448464511865,0.9981192191298109
VBF H→ττ,50,0.9977164584583459,0.997017174345632,0.997984966096519
VBF H→ττ,60,0.9977124758757125,0.9969839208825003,0.9979945340619779
VBF H→ττ,70,0.9977107322544754,0.997371162908305,0.9985356442236445
VBF H→ττ,80,0.9977541907096958,0.997823386266212,0.9986062032675802
Z'→ττ,10,0.999062033786446,0.9992738221148686,0.9998729429780946
Z'→ττ,20,0.9990385309627003,0.9981814579807992,0.9998330703413804
Z'→ττ,30,0.9990691337667456,0.9992992396244114,0.9998111703832141
Z'→ττ,40,0.9990758278828475,0.9965785379608518,0.9995360607198817
Z'→ττ,50,0.9990566157407409,0.9997154283593034,0.9998986667897733
Z'→ττ,60,0.9990531505122143,0.9992833889320943,0.9999247820592596
Z'→ττ,70,0.9990522106973996,0.9972041525342247,0.9997900520205875
Z'→ττ,80,0.9990741133438403,0.9980663591212621,0.9998547528693214
ZZ,10,0.996728806235951,0.9953946175024225,0.9972228082663303
ZZ,20,0.9966418734351128,0.9955102623150094,0.9972363359528618
ZZ,30,0.9967389410012479,0.9951546702849925,0.9971025080784166
ZZ,40,0.9967625474665823,0.996283505150845,0.9976151548614023
ZZ,50,0.9966860596037086,0.9960813278341766,0.9975815200696995
ZZ,60,0.9966939984621108,0.9958356242807693,0.997688444148794
ZZ,70,0.9966893682404867,0.9953022589582071,0.9969570693807955
ZZ,80,0.996763951820469,0.9955866744261067,0.9974438261480437
